car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
M1200607493,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-11-18T11:34:20+00:00,2021-12-07T18:28:18+00:00,2021.11.18 ~ 2021.12.07,2.49,40.0,8.31,100.0,0.0123,87.29,79.61,145.0,0.9,96.55,73.91,5.4,68.51
M1200607494,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-29T18:40:06+00:00,2021-12-08T14:25:59+00:00,2021.10.29 ~ 2021.12.08,3.64,52.65,11.49,100.0,0.0083,94.89,90.0,70.0,2.8,87.14,79.56,5.4,74.16
M1200607495,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-11-11T09:10:32+00:00,2021-12-08T09:15:23+00:00,2021.11.11 ~ 2021.12.08,2.91,41.74,17.6,100.0,0.0094,93.4,90.0,17.0,15.6,94.12,76.83,5.4,71.43
M1200607496,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T16:24:17+00:00,2021-12-08T23:49:35+00:00,2021.10.13 ~ 2021.12.08,3.17,45.61,15.68,100.0,0.0094,93.39,90.0,445.0,1.6,91.91,77.75,5.4,72.35
M1200607497,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-16T11:25:07+00:00,2021-12-07T15:17:43+00:00,2021.10.16 ~ 2021.12.07,2.52,40.0,17.5,100.0,0.0098,92.78,90.0,28.0,5.2,66.07,71.48,5.4,66.08
M1200607498,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T17:14:57+00:00,2021-10-28T10:12:43+00:00,2021.10.13 ~ 2021.10.28,9.46,100.0,19.01,100.0,0.0073,96.01,90.0,37.0,5.6,91.89,96.32,5.4,90.92
M1200607499,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T17:24:04+00:00,2021-12-08T16:49:10+00:00,2021.10.13 ~ 2021.12.08,3.07,44.15,13.69,100.0,0.0126,86.31,90.0,383.0,1.1,89.03,75.61,5.4,70.21
M1200607503,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T14:44:09+00:00,2021-11-29T14:43:01+00:00,2021.10.13 ~ 2021.11.29,3.13,45.0,19.72,100.0,0.0106,91.28,90.0,410.0,1.2,96.83,78.02,5.4,72.62
M1200607504,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-29T10:22:40+00:00,2021-11-25T10:56:49+00:00,2021.10.29 ~ 2021.11.25,3.39,48.85,17.37,100.0,0.014,81.76,90.0,301.0,1.9,94.19,77.28,5.4,71.88
M1200607506,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-11-14T17:51:30+00:00,2021-12-08T18:46:28+00:00,2021.11.14 ~ 2021.12.08,3.13,45.03,9.72,100.0,0.0076,95.66,90.0,17.0,5.1,88.24,77.32,5.4,71.92
