car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
M2210703640,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:41:38+00:00,2021-12-08T23:54:58+00:00,2021.10.12 ~ 2021.12.08,1.89,40.0,13.86,100.0,0.0086,94.51,75.25,102.0,13.4,85.78,72.59,5.4,67.19
M2210703641,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:26:03+00:00,2021-12-08T23:24:54+00:00,2021.10.12 ~ 2021.12.08,3.2,40.0,12.73,100.0,0.0257,40.0,72.41,99.0,22.2,100.0,65.4,5.4,60.0
M2210703642,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T15:01:15+00:00,2021-12-08T23:41:50+00:00,2021.10.13 ~ 2021.12.08,1.42,40.0,18.02,100.0,0.0102,92.12,72.64,57.0,9.3,100.0,74.13,5.4,68.73
M2210703643,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:25:40+00:00,2021-12-08T23:26:27+00:00,2021.10.12 ~ 2021.12.08,2.17,40.0,19.24,100.0,0.0067,96.55,79.23,273.0,6.7,87.73,73.92,5.4,68.52
M2210703664,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:49:51+00:00,2021-11-22T10:55:45+00:00,2021.10.12 ~ 2021.11.22,0.09,40.0,22.16,100.0,0.0047,97.84,71.53,,,80.0,71.56,5.4,66.16
M2210703665,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:42:47+00:00,2021-12-08T22:59:30+00:00,2021.10.12 ~ 2021.12.08,0.54,40.0,16.59,100.0,0.0084,94.82,73.18,86.0,13.6,98.84,74.47,5.4,69.07
M2210703667,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T15:15:56+00:00,2021-10-13T15:15:56+00:00,2021.10.13 ~ 2021.10.13,,0.0,25.0,100.0,,99.33,80.0,,,80.0,59.89,5.4,54.49
M2210703668,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:32:18+00:00,2021-12-08T22:48:39+00:00,2021.10.12 ~ 2021.12.08,0.77,40.0,19.36,100.0,0.0068,96.44,76.11,337.0,8.0,97.03,74.93,5.4,69.53
M2210703681,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T14:41:32+00:00,2021-11-08T15:23:49+00:00,2021.10.13 ~ 2021.11.08,,0.0,23.34,100.0,0.0045,97.99,71.43,,,80.0,58.24,5.4,52.84
M2210703682,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T14:54:07+00:00,2021-12-08T23:46:11+00:00,2021.10.13 ~ 2021.12.08,1.24,40.0,13.04,100.0,0.0059,97.17,73.65,29.0,13.5,96.55,74.56,5.4,69.16
M2210703683,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:11:44+00:00,2021-12-08T22:48:49+00:00,2021.10.12 ~ 2021.12.08,0.98,40.0,18.01,100.0,0.0152,76.63,73.15,116.0,33.2,98.28,71.34,5.4,65.94
